Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,Total_emissions,Eutrophying emissions per 1000kcal (gPO₄eq per 1000kcal),Eutrophying emissions per kilogram (gPO₄eq per kilogram),Eutrophying emissions per 100g protein (gPO₄eq per 100 grams protein),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per 100g protein (liters per 100g protein),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal),Greenhouse gas emissions per 100g protein (kgCO₂eq per 100g protein),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m² per kilogram),Land use per 100g protein (m² per 100g protein),Scarcity-weighted water use per kilogram (liters per kilogram),Scarcity-weighted water use per 100g protein (liters per 100g protein),Scarcity-weighted water use per 1000kcal (liters per 1000 kilocalories),Category,Total Water Use,Total Land Use
Wheat & Rye (Bread),0.1,0.0,0.8,0.2,0.1,0.1,0.1,-0.44051715921252643,7.0,11.46,37.33333333,338.0594129,1083.3272725,417.1,1.351351351,6.5,2.976244344,6.865,7.936313533,14533.05,20917.213595,12605.25679,Plant-Based,-0.4335943077251864,-0.3039569385093896
Maize (Meal),0.3,0.0,0.5,0.1,0.1,0.1,0.0,-0.46942189651589167,7.0,11.46,37.33333333,338.0594129,1083.3272725,417.1,1.351351351,6.5,2.976244344,6.865,7.936313533,14533.05,20917.213595,12605.25679,Plant-Based,-0.4335943077251864,-0.3024919906089714
Barley (Beer),0.0,0.0,0.2,0.1,0.0,0.5,0.3,-0.46942189651589167,7.0,11.46,37.33333333,338.0594129,1083.3272725,417.1,1.351351351,6.5,2.976244344,6.865,7.936313533,14533.05,20917.213595,12605.25679,Plant-Based,-0.4335943077251864,-0.30468941245959874
Oatmeal,0.0,0.0,1.4,0.0,0.1,0.1,0.0,-0.42124733434361644,4.281357225,11.23,8.638461538,183.9115517,371.0769231,482.4,0.945482272,1.907692308,2.897445673,7.6,5.846153846,18786.2,14450.92308,7162.104461,Plant-Based,-0.5119997468461396,-0.3151927838887949
Rice,0.0,0.0,3.6,0.1,0.1,0.1,0.1,-0.19000943591669506,9.51437873,35.07,49.3943662,609.9837222,3166.760563,2248.4,1.207270754,6.267605634,0.7596310359999999,2.8,3.943661972,49576.3,69825.77465,13449.891480000002,Plant-Based,0.3913361285113564,-0.3799457262005091
Potatoes,0.0,0.0,0.2,0.0,0.1,0.0,0.0,-0.5465011959915321,4.7540983610000005,3.48,20.47058824,80.73770492,347.6470588,59.1,0.628415301,2.705882353,1.202185792,0.88,5.176470588,2754.2,16201.17647,3762.568306,Plant-Based,-0.6810145378289415,-0.3817376257732791
Cassava,0.6,0.0,0.2,0.0,0.1,0.0,0.0,-0.4886917213848017,0.708418891,0.69,7.666666667,338.0594129,1083.3272725,0.0,1.35523614,14.66666667,1.858316222,1.81,20.11111111,0.0,20917.213595,12605.25679,Plant-Based,-0.5721917863219188,-0.25633243847491205
Cane Sugar,1.2,0.0,0.5,0.0,0.8,0.1,0.0,-0.3248982099990658,4.820512821,16.92,37.33333333,176.66666669999998,1083.3272725,620.1,0.911680912,6.5,0.581196581,2.04,7.936313533,16438.6,20917.213595,4683.361822999999,Plant-Based,-0.48898395815185947,-0.34878469411371954
Beet Sugar,0.0,0.0,0.5,0.2,0.6,0.1,0.0,-0.44051715921252643,1.541310541,5.41,37.33333333,62.02279202,1083.3272725,217.7,0.515669516,6.5,0.5213675210000001,1.83,7.936313533,9493.3,20917.213595,2704.643875,Plant-Based,-0.5765086561581885,-0.3595508090908229
Other Pulses,0.0,0.0,1.1,0.0,0.1,0.4,0.0,-0.42124733434361644,5.008797653999999,17.08,7.97758057,338.0594129,203.503036,435.7,0.524926686,0.836057917,4.565982405,15.57,7.272302662,22477.4,10498.55208,12605.25679,Plant-Based,-0.4645168633468461,-0.2341468445771436
Peas,0.0,0.0,0.7,0.0,0.1,0.0,0.0,-0.49832663381925685,2.173410405,7.52,3.384338434,338.0594129,178.48784880000002,396.6,0.2832369939999999,0.441044104,2.156069364,7.46,3.357335734,27948.2,12577.94779,12605.25679,Plant-Based,-0.39511609579386586,-0.3398785800940204
Nuts,-2.1,0.0,2.1,0.0,0.1,0.1,0.0,-0.5561361084259872,3.113821138,19.15,11.72688304,672.1626016,2531.414574,4133.8,0.069918699,0.263319045,2.107317073,12.96,7.936313533,229889.8,140777.5873,37380.45528,Plant-Based,2.9547436372071916,-0.28179174405508295
Groundnuts,0.4,0.0,1.4,0.4,0.1,0.1,0.0,-0.3441680348679759,2.437931034,14.14,5.401069519,319.362069,707.5248281,1852.3,0.556896552,1.233766234,1.570689655,9.11,3.479755539,61797.9,23605.00382,10654.81034,Plant-Based,0.02106477259464127,-0.32825392481144683
Soymilk,0.2,0.0,0.1,0.2,0.1,0.1,0.3,-0.4790568089503467,7.0,1.06,37.33333333,338.0594129,1083.3272725,27.8,1.351351351,6.5,2.976244344,0.66,7.936313533,955.6,20917.213595,12605.25679,Plant-Based,-0.5630750376302985,-0.34867447316965533
Tofu,1.0,0.0,0.5,0.8,0.2,0.2,0.3,-0.2863585602612456,7.0,11.46,37.33333333,338.0594129,1083.3272725,417.1,1.351351351,6.5,2.976244344,6.865,7.936313533,14533.05,20917.213595,12605.25679,Plant-Based,-0.4335943077251864,-0.2973646729575077
Soybean Oil,3.1,0.0,1.5,0.3,0.3,0.8,0.0,0.002688812772405947,7.0,11.69,37.33333333,338.0594129,1083.3272725,414.6,1.351351351,6.5,2.976244344,10.52,7.936313533,14888.2,20917.213595,12605.25679,Plant-Based,-0.4303250160574012,-0.2552107971229739
Palm Oil,3.1,0.0,2.1,1.3,0.2,0.9,0.0,0.15684741172368688,1.207013575,10.67,37.33333333,0.7239819000000001,1083.3272725,6.4,0.828054299,6.5,0.273755656,2.42,7.936313533,36.2,20917.213595,4.095022623999999,Plant-Based,-0.6917450239775663,-0.33433621273685893
Sunflower Oil,0.1,0.0,2.1,0.2,0.2,0.9,0.0,-0.23818399808897028,5.730769231,50.66,37.33333333,114.0158371,1083.3272725,1007.9,0.407239819,6.5,1.997737557,17.66,7.936313533,36369.4,20917.213595,4114.18552,Plant-Based,-0.30647494779890616,-0.23205368290012007
Rapeseed Oil,0.2,0.0,2.3,0.2,0.2,0.8,0.0,-0.2189141732200602,2.17081448,19.19,37.33333333,26.88914027,1083.3272725,237.7,0.426470588,6.5,1.202488688,10.63,7.936313533,10593.7,20917.213595,1198.382353,Plant-Based,-0.5804115514189814,-0.2886391184543684
Olive Oil,-0.4,0.0,4.3,0.7,0.5,0.9,0.0,0.0026888127724060324,4.214932127,37.26,37.33333333,242.2850679,1083.3272725,2141.8,0.6131221720000001,6.5,2.976244344,26.31,7.936313533,177480.2,20917.213595,20076.9457,Plant-Based,1.161398810532039,-0.16518974864227515
Tomatoes,0.4,0.0,0.7,0.0,0.2,0.1,0.0,-0.44051715921252643,39.52631579,7.51,68.27272727,1946.315789,3361.818182,369.8,11.0,19.0,4.210526316,0.8,7.272727272999999,5335.7,48506.36364,28082.63158,Plant-Based,-0.08401119670140866,-0.34200386431358404
Onions & Leeks,0.0,0.0,0.2,0.0,0.1,0.0,0.0,-0.5465011959915321,8.756756757,3.24,24.92307692,38.64864865,110.0,14.3,1.351351351,3.846153846,1.054054054,0.39,3.0,932.0,7169.230769,2518.918919,Plant-Based,-0.7961775149923156,-0.40235385461320855
